City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saipan,15.1355,145.701,300.73,100,75,3.6,MP,1690037032
1,assai,-23.3733,-50.8414,295.07,48,0,4.33,BR,1690037032
2,aldan,58.6031,125.3894,287.46,90,67,2.59,RU,1690037033
3,grytviken,-54.2811,-36.5092,269.92,94,100,0.98,GS,1690037033
4,rocky mountain house,52.3668,-114.9188,289.21,88,36,0.51,CA,1690036801
5,oranjemund,-28.55,16.4333,287.04,57,100,3.92,NA,1690037033
6,bikenibeu village,1.3673,173.1241,300.13,89,100,0.0,KI,1690037034
7,colac,-38.3333,143.5833,281.58,89,86,1.57,AU,1690037034
8,remire-montjoly,4.9167,-52.2667,304.17,62,40,3.09,GF,1690037034
9,severo-yeniseyskiy,60.3725,93.0408,292.47,69,99,1.49,RU,1690037034
10,bethel,41.3712,-73.414,298.16,65,0,4.12,US,1690037034
11,papatowai,-46.5619,169.4708,280.82,96,78,4.21,NZ,1690037035
12,barbezieux-saint-hilaire,45.4726,-0.1522,297.88,36,55,5.0,FR,1690037035
13,edinburgh of the seven seas,-37.0676,-12.3116,286.11,74,13,9.65,SH,1690037036
14,bonthe,7.5264,-12.505,300.02,80,73,5.58,SL,1690037036
15,invercargill,-46.4,168.35,276.54,92,14,2.32,NZ,1690037037
16,longyearbyen,78.2186,15.6401,282.06,71,40,3.6,SJ,1690037037
17,adamstown,-25.066,-130.1015,294.06,61,96,7.0,PN,1690037037
18,blackmans bay,-43.0167,147.3167,282.33,87,85,1.63,AU,1690037038
19,port-aux-francais,-49.35,70.2167,275.76,83,97,12.53,TF,1690037038
20,puerto ayora,-0.7393,-90.3518,300.13,77,40,5.35,EC,1690037038
21,katabu,-4.9333,122.5167,296.58,85,25,2.62,ID,1690037039
22,waitangi,-43.9535,-176.5597,284.16,96,100,2.24,NZ,1690037039
23,klyuchi,52.2667,79.1667,291.8,65,56,0.44,RU,1690037039
24,anadyr,64.75,177.4833,287.43,82,75,3.0,RU,1690037039
25,northam,51.0333,-4.2167,291.7,97,100,9.91,GB,1690037040
26,porto novo,6.4965,2.6036,299.05,69,79,5.95,BJ,1690036870
27,puerto natales,-51.7236,-72.4875,271.26,83,40,1.67,CL,1690037040
28,tiksi,71.6872,128.8694,281.78,89,75,3.23,RU,1690037040
29,castillos,-34.1667,-53.8333,297.52,61,100,7.12,UY,1690037041
30,bilibino,68.0546,166.4372,284.57,85,83,2.44,RU,1690037041
31,yambio,4.5721,28.3955,300.51,66,100,1.77,SS,1690037041
32,nevel',56.0209,29.9284,290.86,61,100,1.18,RU,1690037041
33,tofol,5.3248,163.0078,300.95,78,100,4.22,FM,1690037041
34,vilyuchinsk,52.9306,158.4028,288.3,87,54,3.92,RU,1690037042
35,enewetak,11.3474,162.3373,301.62,78,61,5.86,MH,1690037042
